site,lon,lat,Eh,V,Ni,Ba
11JH162,113.64,30.09,-72.7850979788463,0.09,0.59,100.8
22G-63,113.64,30.34,-81.5,0.34,5.23,325.55
11JH031,113.65,30.17,-54.3,0.11,0.69,279.53
11JH161,113.69,30.09,-54.3,0.08,0.63,213.16
22G-67,113.7,30.15,-54.3,0.47,5.19,136.8
11JH057,113.7,30.39,-81.3825516690635,0.15,0.97,457.99
11JH182,113.72,30.05,-54.3,0.11,0.42,119.42
22G-66,113.75,30.29,-97.3,0.82,4.77,332.1
11JH183,113.77,30.07,-54.8787053098607,0.07,0.44,155.31
11JH185,113.8,30.1,-54.7215238205482,0.36,0.81,101.32
11JH180,113.84,30.06,-61.5239124090912,0.12,0.57,258.18
22G-68,113.87,30.14,-55.6,0.2,4.7,163.95
18G-40,113.95,30.17,-149,0.3,2.15,514.11
22G-69,114,30.13,-99,0.288668959788242,1.38,0.08
